"hgnc_symbol","gene_biotype","ensembl_gene_id","kegg"
"CELF2","protein_coding","ENSG00000048740","No_kegg"
"RPL18","protein_coding","ENSG00000063177","No_kegg"
"FAM3A","protein_coding","ENSG00000071889","No_kegg"
"RUNX1T1","protein_coding","ENSG00000079102","No_kegg"
"TMED1","protein_coding","ENSG00000099203","No_kegg"
"GTPBP1","protein_coding","ENSG00000100226","No_kegg"
"NFKBIB","protein_coding","ENSG00000104825","No_kegg"
"NOP53","protein_coding","ENSG00000105373","No_kegg"
"CADM4","protein_coding","ENSG00000105767","No_kegg"
"MOSPD3","protein_coding","ENSG00000106330","No_kegg"
"COA1","protein_coding","ENSG00000106603","No_kegg"
"POLD2","protein_coding","ENSG00000106628","No_kegg"
"SEPTIN4","protein_coding","ENSG00000108387","No_kegg"
"PMP22","protein_coding","ENSG00000109099","No_kegg"
"E2F3","protein_coding","ENSG00000112242","No_kegg"
"CNTN3","protein_coding","ENSG00000113805","No_kegg"
"RPS15","protein_coding","ENSG00000115268","No_kegg"
"CNPPD1","protein_coding","ENSG00000115649","No_kegg"
"ST6GALNAC5","protein_coding","ENSG00000117069","No_kegg"
"APH1A","protein_coding","ENSG00000117362","kegg"
"MIF4GD","protein_coding","ENSG00000125457","No_kegg"
"CHCHD5","protein_coding","ENSG00000125611","No_kegg"
"UCK1","protein_coding","ENSG00000130717","No_kegg"
"NR1H2","protein_coding","ENSG00000131408","No_kegg"
"FHOD3","protein_coding","ENSG00000134775","No_kegg"
"CDK4","protein_coding","ENSG00000135446","No_kegg"
"RPS11","protein_coding","ENSG00000142534","No_kegg"
"ZNF385B","protein_coding","ENSG00000144331","No_kegg"
"RPL37","protein_coding","ENSG00000145592","No_kegg"
"SSBP2","protein_coding","ENSG00000145687","No_kegg"
"LAMTOR1","protein_coding","ENSG00000149357","No_kegg"
"FAU","protein_coding","ENSG00000149806","No_kegg"
"TMEM219","protein_coding","ENSG00000149932","No_kegg"
"ME3","protein_coding","ENSG00000151376","No_kegg"
"JAZF1","protein_coding","ENSG00000153814","No_kegg"
"SNX22","protein_coding","ENSG00000157734","No_kegg"
"RER1","protein_coding","ENSG00000157916","No_kegg"
"CSRP1","protein_coding","ENSG00000159176","No_kegg"
"S100B","protein_coding","ENSG00000160307","No_kegg"
"RPL8","protein_coding","ENSG00000161016","No_kegg"
"EMC10","protein_coding","ENSG00000161671","No_kegg"
"JOSD2","protein_coding","ENSG00000161677","No_kegg"
"RPL29","protein_coding","ENSG00000162244","No_kegg"
"PMVK","protein_coding","ENSG00000163344","No_kegg"
"RPL27A","protein_coding","ENSG00000166441","No_kegg"
"BEST1","protein_coding","ENSG00000167995","No_kegg"
"RPSA","protein_coding","ENSG00000168028","No_kegg"
"TMEM129","protein_coding","ENSG00000168936","No_kegg"
"DCXR","protein_coding","ENSG00000169738","No_kegg"
"DLGAP1","protein_coding","ENSG00000170579","No_kegg"
"RPS21","protein_coding","ENSG00000171858","No_kegg"
"RPLP2","protein_coding","ENSG00000177600","No_kegg"
"COA4","protein_coding","ENSG00000181924","No_kegg"
"IST1","protein_coding","ENSG00000182149","No_kegg"
"KCNQ5","protein_coding","ENSG00000185760","No_kegg"
"ZNF567","protein_coding","ENSG00000189042","No_kegg"
"S100A13","protein_coding","ENSG00000189171","No_kegg"
"GM2A","protein_coding","ENSG00000196743","No_kegg"
"C6orf47","protein_coding","ENSG00000204439","No_kegg"
"","protein_coding","ENSG00000213204","No_kegg"
"C6orf47-AS1","lncRNA","ENSG00000227198","No_kegg"
"","lncRNA","ENSG00000229151","No_kegg"
"RNASEH1-DT","lncRNA","ENSG00000234171","No_kegg"
"WBP1","protein_coding","ENSG00000239779","No_kegg"
"","lncRNA","ENSG00000248223","No_kegg"
"GPAT4-AS1","lncRNA","ENSG00000253133","No_kegg"
"","lncRNA","ENSG00000257522","No_kegg"
"TEN1","protein_coding","ENSG00000257949","No_kegg"
"","lncRNA","ENSG00000260669","No_kegg"
"","protein_coding","ENSG00000262560","No_kegg"
"SEPTIN4-AS1","lncRNA","ENSG00000264672","No_kegg"
"","protein_coding","ENSG00000268193","No_kegg"
"","lncRNA","ENSG00000268854","No_kegg"
"KXD1-AS1","lncRNA","ENSG00000268983","No_kegg"
"","lncRNA","ENSG00000271853","No_kegg"
"INO80B-WBP1","protein_coding","ENSG00000274049","No_kegg"
